Epoch,LR,train_loss,train_y_mse,val_y_mse,train_cd,val_cd,z_logsig_mean,y_logsig_mean,Sec
28.00000,0.00005,24.81584,18.34688,19.04942,85.37880,87.62554,0.56414,0.83105,249.31521
29.00000,0.00005,19.89970,24.45808,25.64872,101.81881,110.60696,0.69292,0.74133,258.78163
30.00000,0.00005,18.31482,15.55907,18.02975,77.42789,88.94277,1.05143,0.74582,236.48489
31.00000,0.00005,16.69470,17.92119,20.08144,82.58501,89.65385,0.49259,0.64437,249.31060
32.00000,0.00005,16.51554,16.45270,18.84395,80.40114,91.73517,0.08806,0.62419,258.83686
33.00000,0.00005,16.18934,14.50440,16.40574,74.01751,82.80666,-1.08756,0.48882,238.22296
34.00000,0.00005,15.85122,16.10299,17.15697,78.77856,82.43011,-0.23744,0.48120,249.31392
35.00000,0.00005,15.63379,14.80845,17.17593,73.11510,81.57111,0.13735,0.36466,257.86985
36.00000,0.00005,17.40253,13.77072,16.10016,71.24641,80.65057,-0.30241,0.53019,247.60062
37.00000,0.00005,18.59785,20.03302,21.41775,91.18972,96.25385,-0.66272,0.57698,264.06584
38.00000,0.00005,15.94592,13.85400,16.68391,70.63520,82.90823,-0.26011,0.61723,268.11901
39.00000,0.00005,14.56241,13.68712,16.27741,71.41392,82.72125,0.44364,0.49802,253.46607
40.00000,0.00005,14.03277,14.37349,16.59997,69.73022,77.68011,0.26857,0.48554,261.35373
41.00000,0.00005,21.74264,30.63568,34.23354,129.15784,137.76991,0.10625,0.68281,270.70968
42.00000,0.00005,17.76677,13.18462,15.89353,69.84579,81.43281,-0.08123,0.69550,259.51938
43.00000,0.00005,13.12217,12.58396,15.11950,66.88188,75.89685,0.43152,0.42065,256.09179
44.00000,0.00005,13.00050,12.24144,14.58818,65.30717,75.08926,0.34319,0.36180,273.19906
45.00000,0.00005,12.51938,11.68269,14.11789,64.58209,73.52668,-0.20559,0.37047,217.31759
46.00000,0.00005,13.50751,12.74857,16.69223,65.99924,78.13728,-0.83968,0.41372,211.26944
47.00000,0.00005,16.00655,13.56298,16.21752,68.28992,78.14422,-0.86620,0.50040,204.15179
48.00000,0.00005,13.00836,15.20139,16.63418,74.07487,82.13899,-0.22431,0.55046,211.28441
49.00000,0.00005,14.10955,13.59491,13.84461,71.05572,72.12583,0.37947,0.59647,204.04476
50.00000,0.00005,12.99912,10.41018,13.30134,59.10588,69.51200,-0.23959,0.49984,201.19845
51.00000,0.00005,40939061.86858,17.69859,20.00524,79.72908,89.44045,-17.99046,2.73296,200.13179
52.00000,0.00005,18.20189,22.74981,25.59830,99.93115,113.41425,-28.94421,3.33399,200.47810
53.00000,0.00005,14.03399,20.15791,25.39034,88.32989,109.33403,-28.31287,3.28964,201.81777
54.00000,0.00005,14.80416,21.36223,27.21385,96.20757,120.39408,-24.05964,2.98463,203.54370
55.00000,0.00005,14.03186,24.50352,24.68936,93.62347,98.67755,-21.41784,2.73340,197.50840
56.00000,0.00005,12.81319,10.54177,14.23025,59.45694,73.45962,-19.45987,2.62044,121.26336
57.00000,0.00005,13.08746,19.59263,29.31717,87.80981,123.84418,-15.85035,2.23113,123.48278
58.00000,0.00005,11.88751,12.17122,17.81922,65.97005,89.00475,-13.14601,1.96668,121.72128
59.00000,0.00005,11.10954,15.37889,19.15820,74.91387,90.69405,-13.06329,2.11298,118.21949
60.00000,0.00005,9.75619,11.19167,14.78543,60.75464,74.79533,-11.74034,1.88458,125.18868
61.00000,0.00005,10.20103,16.65936,21.86514,80.11082,99.47038,-10.73190,1.78090,121.67866
62.00000,0.00005,10.41175,12.17193,14.79080,64.04006,74.61226,-10.37248,1.85383,118.49274
63.00000,0.00005,15.82887,18.14334,26.47357,83.54372,113.89668,-9.25116,1.71380,125.01864
64.00000,0.00005,10.25338,9.53916,13.14903,56.68344,69.49968,-9.65356,1.88430,119.34886
65.00000,0.00005,10.91412,12.30268,15.91042,64.17590,77.57899,-9.37123,1.80386,118.50905
66.00000,0.00005,11.89325,18.99877,22.54220,87.26186,102.10178,-8.95923,1.71254,121.37548
67.00000,0.00005,9.49717,14.01541,18.99750,72.34511,91.98293,-8.92683,1.70451,120.37000
68.00000,0.00005,8.76645,9.07664,12.46370,54.35654,66.14248,-8.46541,1.68915,119.23581
69.00000,0.00005,7.84701,24.34150,29.74618,106.32240,127.98130,-8.07920,1.64171,123.32909
70.00000,0.00005,8.03564,14.38805,18.80980,73.87525,91.14570,-8.03536,1.68053,117.72796
71.00000,0.00005,7.16434,12.75732,16.85448,65.65321,81.10360,-7.72402,1.68879,124.42205
72.00000,0.00005,7.37846,10.77290,13.93963,59.68434,71.30763,-7.37839,1.70306,120.18546
73.00000,0.00005,7.38103,8.26390,11.98983,51.49075,64.67329,-7.23611,1.72618,118.52609
74.00000,0.00005,6.19840,10.67055,13.84303,60.92397,72.70478,-7.11308,1.72339,122.62946
75.00000,0.00005,5.89366,11.68591,18.10399,63.44115,86.85826,-6.63600,1.68573,118.39764
76.00000,0.00005,5.96397,9.40643,14.46160,55.79901,73.59718,-6.54669,1.69182,119.12582
77.00000,0.00005,6.08715,10.51758,12.84906,60.32732,68.78111,-6.29864,1.78303,114.65979
78.00000,0.00005,5.45548,7.66893,11.36886,50.19405,63.16417,-5.86298,1.74336,116.14350
79.00000,0.00005,5.33841,9.21616,12.77818,56.08870,68.50074,-5.66874,1.70052,118.88061
80.00000,0.00005,5.24100,9.82495,13.55660,57.49116,70.31425,-5.32839,1.70301,117.00268
81.00000,0.00005,4.79939,7.92165,12.25600,51.40506,66.78830,-5.39174,1.78734,116.79288
82.00000,0.00005,4.37159,9.21744,12.77058,55.65881,68.26349,-4.91405,1.66479,113.99969
83.00000,0.00005,5.00804,8.14466,12.56559,53.28881,69.00966,-4.82225,1.71788,113.45240
84.00000,0.00005,3.99670,10.31925,14.63651,58.90590,73.90517,-4.69519,1.69273,114.95737
85.00000,0.00005,4.36793,7.53115,12.13844,50.22441,66.15627,-4.46076,1.73603,113.88815
86.00000,0.00005,3.68175,12.41906,17.41746,65.60517,82.89678,-4.21415,1.66946,115.44172
87.00000,0.00005,3.60106,10.06156,14.76487,57.87419,73.88074,-4.05114,1.67105,115.57603
88.00000,0.00005,3.39085,9.72921,14.63920,57.69011,75.09479,-3.84063,1.71208,115.30523
89.00000,0.00005,3.10139,10.80350,15.25608,61.67622,78.04807,-3.57813,1.62555,118.04850
90.00000,0.00005,2.98766,7.45385,12.26516,49.66477,66.43858,-3.36542,1.64161,112.38522
91.00000,0.00005,2.74457,8.94339,13.81760,54.83655,71.70116,-3.11083,1.58031,120.01517
92.00000,0.00005,2.61983,7.05185,12.00104,48.19141,65.17319,-3.06008,1.62824,122.28810
93.00000,0.00005,2.39917,8.04624,12.56509,52.05598,68.43304,-2.92201,1.57090,118.94755
94.00000,0.00005,2.20530,9.62471,13.90479,56.28855,71.73526,-2.66347,1.54904,116.01259
95.00000,0.00005,2.11726,8.09141,12.72129,52.24404,68.72449,-2.48001,1.57861,113.77963
96.00000,0.00005,1.87705,7.54837,12.16958,49.97245,66.15031,-2.31388,1.47963,115.89685
97.00000,0.00005,1.76073,7.05454,11.60983,48.42155,64.33406,-2.12690,1.46704,114.70885
98.00000,0.00005,1.64771,8.47239,13.43174,53.02605,70.45270,-1.97947,1.48357,116.50359
99.00000,0.00005,1.50728,6.49502,10.95817,46.72644,62.21386,-1.84020,1.43085,114.97839
100.00000,0.00005,1.39737,6.64693,11.10051,47.07996,62.69999,-1.77372,1.44583,115.31630
101.00000,0.00005,1.38527,9.71108,14.94921,57.86074,76.96223,-1.65892,1.43504,120.55259
102.00000,0.00005,1.36831,7.51351,12.29256,49.90137,66.92762,-1.51719,1.42125,117.88650
103.00000,0.00005,1.34679,5.98546,10.42635,44.90182,60.30202,-1.45945,1.39715,115.79101
104.00000,0.00005,1.35003,6.04830,10.49310,45.04970,60.26999,-1.41798,1.42154,118.22819
105.00000,0.00005,1.33423,7.68930,12.84293,51.44955,69.78215,-1.34623,1.40284,116.11743
106.00000,0.00005,1.33441,6.90218,11.43596,48.29440,63.94997,-1.31125,1.41000,118.22066
107.00000,0.00005,1.35115,8.72705,13.30858,54.25839,70.66595,-1.30476,1.46433,121.96698
108.00000,0.00005,1.32469,7.31248,11.46839,49.75821,64.16919,-1.20607,1.41263,116.77848
109.00000,0.00005,1.31180,6.15695,10.59461,45.26816,60.69323,-1.15733,1.39789,117.33929
110.00000,0.00005,1.32520,6.86775,11.54088,48.17636,64.33228,-1.10624,1.42808,116.55036
111.00000,0.00005,1.34213,7.93012,13.13722,51.66259,70.25055,-1.09001,1.46246,116.47694
112.00000,0.00005,1.34679,10.91483,16.65332,61.89975,83.21904,-1.09395,1.47354,116.59573
113.00000,0.00005,1.33804,5.70558,10.00040,43.94212,58.22490,-1.07489,1.48149,115.07599
114.00000,0.00005,1.30446,5.86971,10.29505,44.73359,59.66959,-1.01873,1.40677,116.30261
115.00000,0.00005,1.27451,6.91652,11.91092,48.47699,66.00410,-0.88101,1.37068,119.79059
116.00000,0.00005,1.28166,5.71742,10.02785,44.17979,58.44779,-0.92053,1.37547,114.80699
117.00000,0.00005,1.29136,6.15505,10.71886,45.68879,61.22255,-0.88623,1.40227,115.12165
118.00000,0.00005,1.33714,5.89958,10.18559,44.70704,59.04952,-0.91573,1.47582,115.51268
119.00000,0.00005,1.30050,7.61446,11.98132,50.33355,65.67247,-0.87860,1.41914,117.03021
120.00000,0.00005,1.26445,7.58471,12.76026,50.30960,68.36759,-0.80779,1.37171,118.32221
121.00000,0.00005,1.29683,6.09417,10.21602,44.97568,58.25575,-0.79233,1.41737,121.59229
122.00000,0.00005,1.29823,7.46323,12.77786,49.71177,68.31293,-0.79005,1.43727,119.04660
123.00000,0.00005,1.28618,8.19097,12.36095,52.54747,66.79402,-0.80113,1.40495,124.08736
124.00000,0.00005,1.26102,5.57187,10.09738,43.42981,58.64668,-0.74252,1.36637,120.92157
125.00000,0.00005,1.23999,6.26240,10.99608,46.39306,62.98216,-0.75193,1.33223,119.35461
126.00000,0.00005,1.22977,5.75981,10.34938,44.27570,59.99226,-0.72446,1.30514,117.65683
127.00000,0.00005,1.24281,6.29566,10.76365,45.59579,61.07968,-0.66296,1.33506,120.16035
128.00000,0.00005,1.26389,8.27329,13.27321,52.96444,70.46924,-0.70311,1.38658,121.74351
129.00000,0.00005,1.28460,6.21723,10.79352,45.71759,61.58597,-0.68893,1.40899,122.61618
130.00000,0.00005,1.30462,6.59680,10.97859,47.25312,62.26023,-0.66669,1.45923,120.24189
131.00000,0.00005,1.27461,7.08365,12.33812,48.94847,67.42623,-0.67947,1.40962,119.45719
132.00000,0.00005,1.23185,5.92501,11.09298,44.64579,62.43671,-0.62914,1.33181,118.57426
133.00000,0.00005,1.21218,5.53444,10.21539,43.20633,58.75481,-0.61941,1.29453,119.59772
134.00000,0.00005,1.23368,6.25069,10.77403,46.15225,61.41304,-0.56086,1.32942,117.60801
135.00000,0.00005,1.24128,5.35738,9.93717,42.71066,57.74035,-0.64565,1.35395,123.72981
136.00000,0.00005,1.25252,5.44146,9.79360,43.19217,57.18545,-0.59589,1.37030,123.39132
137.00000,0.00005,1.21701,6.38673,11.16542,46.30215,62.85919,-0.59518,1.30736,121.25098
138.00000,0.00005,1.24748,7.80124,12.31891,51.98954,67.64056,-0.54613,1.35845,119.33211
139.00000,0.00005,1.28347,5.73243,10.27082,44.37728,59.59595,-0.52146,1.41844,121.57647
140.00000,0.00005,1.20344,5.44916,9.93245,43.12304,58.07708,-0.50285,1.27586,120.74413
141.00000,0.00005,1.22519,5.60672,9.90859,43.65842,57.19261,-0.53181,1.32984,126.13961
142.00000,0.00005,1.24498,8.46489,14.01064,53.86080,73.66862,-0.51243,1.35322,122.95720
143.00000,0.00005,1.22729,5.34131,10.04397,42.86185,58.65160,-0.51465,1.35054,119.63893
144.00000,0.00005,1.20981,5.36224,9.89636,43.08144,57.74447,-0.52291,1.29439,118.59954
145.00000,0.00005,1.25052,5.99033,10.24317,44.30571,58.21654,-0.50469,1.35481,120.69526
146.00000,0.00005,1.22960,5.29695,9.88576,42.80087,57.95009,-0.47195,1.35063,121.14354
147.00000,0.00005,1.19649,5.27482,10.02773,42.62189,58.05269,-0.49100,1.28168,121.74117
148.00000,0.00005,1.23599,7.64154,12.74659,51.32228,68.85931,-0.50805,1.33738,122.42859
149.00000,0.00005,1.21902,6.57391,11.03483,46.95945,61.90948,-0.51297,1.32253,120.13679
150.00000,0.00005,1.18290,5.32937,10.04750,42.62567,57.27216,-0.53041,1.25300,126.15204
151.00000,0.00005,1.19873,5.20057,9.68799,42.21379,56.93388,-0.50648,1.28352,126.32053
152.00000,0.00005,1.22661,6.33622,11.40415,45.82548,63.09024,-0.42374,1.32963,124.59375
153.00000,0.00005,1.18382,5.38497,9.84288,42.60150,57.03115,-0.43192,1.27406,126.48983
154.00000,0.00005,1.17324,5.17627,9.97384,42.30753,58.17584,-0.45756,1.23619,125.50343
155.00000,0.00005,1.16781,6.13148,10.80309,45.94275,62.09007,-0.43975,1.23721,129.31352
156.00000,0.00005,1.19200,6.84702,11.53004,47.31377,63.98989,-0.41781,1.26744,126.02874
157.00000,0.00005,1.18849,5.10490,9.88246,41.65521,57.16442,-0.40754,1.27366,127.95650
158.00000,0.00005,1.18759,5.17574,9.69767,41.88786,56.29956,-0.42764,1.26135,128.41487
159.00000,0.00005,1.15832,5.29324,9.99997,42.57305,58.41587,-0.35891,1.20921,125.54893
160.00000,0.00005,1.14740,5.35756,10.68530,43.18632,61.26828,-0.41963,1.20633,127.39137
161.00000,0.00005,1.16928,5.25102,9.84275,42.85689,57.61039,-0.44402,1.23455,125.70904
162.00000,0.00005,1.16438,5.11577,10.01747,41.99834,58.52362,-0.36703,1.21297,120.01551
163.00000,0.00005,1.14094,4.93072,9.73653,41.39698,57.31971,-0.39577,1.18543,109.53424
164.00000,0.00005,1.15221,5.03590,9.80932,41.83580,58.00539,-0.39893,1.20353,111.59951
165.00000,0.00005,1.15844,4.93551,9.80334,41.48824,57.84283,-0.40670,1.21546,111.01648
166.00000,0.00005,1.14202,6.25297,11.29513,45.71669,63.32672,-0.37424,1.19174,110.42811
167.00000,0.00005,1.14160,4.82485,9.74591,40.84486,57.22323,-0.31874,1.17837,111.22484
168.00000,0.00005,1.15184,5.44953,9.87828,43.19051,57.84435,-0.35694,1.20135,111.13786
169.00000,0.00005,1.14751,5.29324,10.70842,42.29259,60.53748,-0.32124,1.18878,111.76636
170.00000,0.00005,1.23262,5.02163,9.78832,41.74811,57.61853,-0.36801,1.34959,110.51836
171.00000,0.00005,1.16108,4.89579,9.74764,41.21414,56.99725,-0.37429,1.21229,111.14567
172.00000,0.00005,1.18603,4.83085,9.72480,41.11961,57.87311,-0.37840,1.27479,111.70474
173.00000,0.00005,1.15703,5.02685,10.16777,41.77260,58.79526,-0.33397,1.19091,110.01959
174.00000,0.00005,1.17561,4.83303,9.77412,40.76921,57.37466,-0.29539,1.27220,111.04895
175.00000,0.00005,1.15275,4.91902,9.82352,41.30917,57.34350,-0.31784,1.20894,111.93255
176.00000,0.00005,1.14660,4.99683,10.03243,41.81076,58.72282,-0.31023,1.19861,107.38554
177.00000,0.00005,1.11649,4.64359,9.46978,40.34185,56.79830,-0.35086,1.14107,105.42318
178.00000,0.00005,1.11224,7.01052,11.90888,48.17733,65.24227,-0.36841,1.12639,105.39955
179.00000,0.00005,1.13850,5.57750,10.22892,43.28084,58.64271,-0.34532,1.18316,104.74654
180.00000,0.00005,1.13182,5.07414,10.13284,41.88754,58.83611,-0.35490,1.17505,103.44100
181.00000,0.00005,1.13637,5.75144,10.84192,43.94141,61.37642,-0.31780,1.17472,105.10205
182.00000,0.00005,1.13351,4.70412,9.72198,40.66705,57.26526,-0.33098,1.17159,105.78355
183.00000,0.00005,1.09630,4.75623,9.73852,41.42264,57.63625,-0.31912,1.10956,104.33512
184.00000,0.00005,1.10335,4.44990,9.50445,39.52779,56.39346,-0.30017,1.11575,104.21664
185.00000,0.00005,1.08055,4.96529,9.70540,41.63475,57.46304,-0.32001,1.08187,105.16595
186.00000,0.00005,1.08952,4.61735,9.58120,39.96693,56.77860,-0.29159,1.08211,105.71396
187.00000,0.00005,1.09335,4.58271,9.65388,40.43921,57.58713,-0.31617,1.10196,105.53058
188.00000,0.00005,1.10197,4.46608,9.60355,39.85409,57.09748,-0.30801,1.11495,103.99855
189.00000,0.00005,1.14571,4.45580,9.47692,39.58890,56.43199,-0.33601,1.19700,105.77160
190.00000,0.00005,1.07371,4.44183,9.48577,39.52970,56.71316,-0.31358,1.05580,105.09964
191.00000,0.00005,1.09267,4.56173,9.79190,40.14280,57.66671,-0.31025,1.09345,105.01787
192.00000,0.00005,1.07665,4.61066,9.66823,40.14335,56.80428,-0.31739,1.06594,104.84453
193.00000,0.00005,1.09731,4.42059,9.50609,39.51134,56.42638,-0.27405,1.11396,104.62730
194.00000,0.00005,1.08428,4.56957,9.44850,40.11252,56.20674,-0.31866,1.07496,104.16673
195.00000,0.00005,1.08880,4.71204,9.84442,40.80393,57.69067,-0.33006,1.09912,103.62916
196.00000,0.00005,1.07369,4.47553,9.69217,39.75266,57.58879,-0.28147,1.05637,104.87158
197.00000,0.00005,1.07059,4.41301,9.57184,39.56081,57.11974,-0.28378,1.06252,105.13796
198.00000,0.00005,1.05183,4.72245,10.03039,40.42327,58.66124,-0.25739,1.00322,105.64371
199.00000,0.00005,1.07359,4.64505,10.05166,40.03022,58.52214,-0.30668,1.07383,104.80942
200.00000,0.00005,1.09638,5.80037,11.07552,44.55878,62.84111,-0.28972,1.10023,104.27892
201.00000,0.00005,1.07341,4.40956,9.52465,39.39152,56.55812,-0.23623,1.05503,105.33147
202.00000,0.00005,1.04177,4.49618,9.79774,39.78252,57.72280,-0.23370,1.00660,104.12061
203.00000,0.00005,1.05305,4.52713,9.95211,40.21730,58.90516,-0.29502,1.01814,105.38631
204.00000,0.00005,1.06289,4.17252,9.42415,38.44340,56.18922,-0.29422,1.04728,105.92725
205.00000,0.00005,1.04395,4.27622,9.57987,38.97992,56.67755,-0.26893,1.01244,104.54530
206.00000,0.00005,1.04342,4.52469,9.84610,40.37414,58.58479,-0.26340,0.99339,105.74129
207.00000,0.00005,1.05138,4.23759,9.37733,38.55289,55.89120,-0.25923,1.02482,104.94273
208.00000,0.00005,1.03230,4.12801,9.37177,38.15463,55.55229,-0.26249,0.98698,104.38748
209.00000,0.00005,1.03446,4.33475,9.56847,39.02708,56.26380,-0.25509,0.97972,104.00241
210.00000,0.00005,1.05124,4.64428,10.09306,40.32713,58.87116,-0.26877,1.01116,105.69230
211.00000,0.00005,1.07503,4.10653,9.41171,38.18557,55.51530,-0.26410,1.06799,106.75837
212.00000,0.00005,1.02372,4.15100,9.51796,38.83405,56.92255,-0.27993,0.95974,104.67702
213.00000,0.00005,1.01709,4.10496,9.46945,38.55901,56.70612,-0.29175,0.95733,105.17659
214.00000,0.00005,1.01372,4.14941,9.36176,38.22830,55.64883,-0.24806,0.95874,105.03938
215.00000,0.00005,1.03172,4.54678,9.98303,40.06177,58.39715,-0.24361,0.98611,105.08189
216.00000,0.00005,1.01352,4.44241,9.82010,39.42518,57.63930,-0.24750,0.95050,104.66702
217.00000,0.00005,1.04194,4.28159,9.83841,39.21714,58.14090,-0.21693,0.99871,105.37751
218.00000,0.00005,1.00599,3.94104,9.29674,37.75190,55.65761,-0.23800,0.94029,105.93081
219.00000,0.00005,0.99000,4.06383,9.57346,38.23651,56.67882,-0.24758,0.90066,103.46437
220.00000,0.00005,1.04379,4.25830,9.73656,38.66813,57.35441,-0.23589,1.00285,106.65144
221.00000,0.00005,1.01999,5.40584,10.80951,42.69003,61.16800,-0.24851,0.96047,119.28945
222.00000,0.00005,1.04759,3.96616,9.30600,38.03218,55.63188,-0.24255,1.00207,128.89194
223.00000,0.00005,1.00881,4.63135,10.07617,39.98207,58.80548,-0.24091,0.93850,160.30890
224.00000,0.00005,1.00986,4.17856,9.34025,37.94345,55.64387,-0.22306,0.93061,188.99197
225.00000,0.00005,1.06642,3.99001,9.27802,37.97832,56.34659,-0.24503,1.02833,184.15143
226.00000,0.00005,1.03483,4.23286,9.60249,39.01941,56.39728,-0.19233,0.99297,182.45871
227.00000,0.00005,1.03528,6.73448,11.69166,47.67778,65.14942,-0.22904,0.97991,176.99838
228.00000,0.00005,1.02987,4.11449,9.58096,38.65241,57.37422,-0.21808,0.97010,187.53654
229.00000,0.00005,1.00637,4.13226,9.67172,38.30695,57.27596,-0.23987,0.93344,187.20758
230.00000,0.00005,1.02168,4.00190,9.48961,38.04910,56.54310,-0.23459,0.96939,185.40526
231.00000,0.00005,1.00142,4.63300,9.92213,40.22929,58.11570,-0.24488,0.92550,186.48142
232.00000,0.00005,1.01780,4.77136,10.68777,40.92556,61.59396,-0.24225,0.95703,191.51846
233.00000,0.00005,0.98173,3.87785,9.31126,37.81508,56.04818,-0.20786,0.89089,187.58210
234.00000,0.00005,0.99542,3.98155,9.54907,37.65121,56.17841,-0.20562,0.90974,186.17222
235.00000,0.00005,0.99550,4.01573,9.57101,38.04752,56.74697,-0.20918,0.90068,189.73937
236.00000,0.00005,0.99383,5.20257,10.73237,42.40793,61.48916,-0.24880,0.91055,190.42632
237.00000,0.00005,1.02375,4.13228,9.72802,38.69025,57.20944,-0.24681,0.96249,183.47331
238.00000,0.00005,0.99419,3.83111,9.34891,37.38811,56.02480,-0.24601,0.91775,181.76266
239.00000,0.00005,0.99639,3.73876,9.41618,36.86130,56.00305,-0.23051,0.91142,183.98234
240.00000,0.00005,0.98299,3.80103,9.20260,37.49675,55.78696,-0.22810,0.88307,187.56878
241.00000,0.00005,1.00151,4.00985,9.38205,38.23537,56.30920,-0.22095,0.92352,181.71179
242.00000,0.00005,1.04586,3.82973,9.28281,37.36379,55.66212,-0.21874,1.00065,179.00650
243.00000,0.00005,0.97924,3.80670,9.66570,37.65640,57.29439,-0.24875,0.88973,178.29209
244.00000,0.00005,0.95420,3.66176,9.35561,36.55640,55.60390,-0.21179,0.83172,173.28222
245.00000,0.00005,0.97910,3.71277,9.32063,37.10864,56.25844,-0.19351,0.88454,177.53341
246.00000,0.00005,0.97532,4.32856,9.84199,39.42886,58.29337,-0.20293,0.87078,172.95460
247.00000,0.00005,0.98473,3.69703,9.26766,36.97694,55.25931,-0.20994,0.89279,178.63971
248.00000,0.00005,0.99561,3.89271,9.25963,37.47728,55.13384,-0.19284,0.90735,177.51272
249.00000,0.00005,0.98172,3.77817,9.35101,37.31285,56.28922,-0.20709,0.88857,174.32683
250.00000,0.00005,1.01801,3.93422,9.54450,37.92900,56.92015,-0.19147,0.94987,172.34138
251.00000,0.00005,0.99971,3.99444,9.45707,37.67306,55.44536,-0.19243,0.91829,182.41036
252.00000,0.00005,0.98224,3.93402,9.54157,37.67867,56.47038,-0.17116,0.89287,180.90942
253.00000,0.00005,0.95264,3.66876,9.45675,36.76615,55.95179,-0.17399,0.82725,182.00453
254.00000,0.00005,0.97708,3.86227,9.66808,37.74855,57.21496,-0.21121,0.87253,179.88658
255.00000,0.00005,0.98715,4.03424,9.76181,38.05119,57.48360,-0.22268,0.88960,175.64696
256.00000,0.00005,0.96629,3.75867,9.38276,37.38331,56.13497,-0.20922,0.85429,174.08521
257.00000,0.00005,0.95879,3.70304,9.31561,36.60575,55.43075,-0.22552,0.83160,176.07776
258.00000,0.00005,1.01128,4.28467,10.10992,38.69701,58.28008,-0.19158,0.94014,184.31646
259.00000,0.00005,0.94645,3.53164,9.16859,36.36744,55.23715,-0.18622,0.82311,180.77964
260.00000,0.00005,0.93940,3.72881,9.40760,36.94317,55.88906,-0.16767,0.78848,178.17879
261.00000,0.00005,0.96728,3.66438,9.43494,36.72290,56.41164,-0.17177,0.86753,178.72448
262.00000,0.00005,0.94713,3.58113,9.11021,36.32001,55.09678,-0.16771,0.81317,178.46969
263.00000,0.00005,0.94206,3.77878,9.57955,37.04085,56.67575,-0.18245,0.80235,179.00045
264.00000,0.00005,0.96831,3.67425,9.46757,37.02203,56.87042,-0.19758,0.84081,177.23331
265.00000,0.00005,0.94420,3.55115,9.31155,36.05586,54.88219,-0.16655,0.82594,181.49437
266.00000,0.00005,0.93607,3.64454,9.50283,36.90651,56.98883,-0.20199,0.79136,175.24175
267.00000,0.00005,0.92181,3.92729,9.49178,37.59675,56.40144,-0.19964,0.77061,182.42778
268.00000,0.00005,0.94718,4.17868,10.33086,38.83712,59.77714,-0.20745,0.81980,172.15247
269.00000,0.00005,0.95623,3.57405,9.37635,36.57630,56.05779,-0.14792,0.82910,176.14313
270.00000,0.00005,0.94205,3.71416,9.57742,36.98283,57.04369,-0.17869,0.81213,178.63624
271.00000,0.00005,0.97697,3.73122,9.69611,37.25768,57.63337,-0.20326,0.86021,177.41930
272.00000,0.00005,0.96160,3.48333,9.29811,36.23149,55.92618,-0.17271,0.83870,179.79211
